letter|standard|type|audio|baseWords|moreWords
ai|eɪ|7|ai.mp3|mail,pain,fail|mail,pain,fail,nail,wait,sail,waiter,brain,faint,faith,gain,main,failure,aid,aim,paint,vain,stain,raise,tailor
ay|eɪ|7|ay.mp3|pay,day,may|pay,day,may,say,way,betray,railway,relay,player,Tuesday,wayside,Monday,birthday,daylight,holiday,gay,away,midday,Friday,highway
ea|i:|7|ea.mp3|leaf,leave,team|leaf,leave,team,tea,clean,team,eat,east,speak,please,each,easy
ea|e|7|ea_e.mp3|bread,death,ready|bread,death,ready,bread,heavy,breakfast,weather,head,headache,deaf
ee|i:|7|ee.mp3|bee,deed,need|bee,deed,need,cheese,wheel,feel,agree,green,week,fourteen,three,deep,peep,weep,sleep,jeep,see
ei|eɪ|7|ei.mp3|neighbour,deign,eight,|neighbour,eighth,deign,eight,
ey|eɪ|7|ey.mp3|prey,grey,they|prey,grey,they,obey
ie|i:|7|ie.mp3|field,thief,niece|field,thief,niece,piece,chief,believe,achieve,field,grief,grieve,yield,relieve
oa|əʊ|7|oa.mp3|coast,road,loan|coast,road,loan,boat,roam,coal,soak,boat,goat,float,throat,coal,roadside,foam
oo|u:|7|oo.mp3|food,moon,tool|food,moon,tool,noon,pool,zoo,school,cool,tooth,goose
oo|ʊ|7|oo_u.mp3|look,good,hood|look,good,hood,wool,hook,football,book,cook,wood
ou|aʊ|7|ou.mp3|mountain,loud,found|mountain,loud,found,mouth,cloud,proud,ground,out,shout,thousand
ou|u:|7|ou_u.mp3|soup,wound,route|soup,wound,route,group,route,thousand
ou|ʌ|7|ou_a.mp3|courage,country,double|courage,country,double
oi|ɔɪ|7|oi.mp3|soil,join,oil|soil,join,oil,toil,join,spoil
oy|ɔɪ|7|oy.mp3|toy,boy,royal|toy,boy,royal,enjoy
ui|u:ɪ|7|.mp3|fluid,ruin,fruit|fluid,ruin,fruit,pursuit
